আব্দুল bdl
চাঁদনী cdn
ক্ষত kt
দক্ষ dkk
বাঙলা bnl
বাংলা bnl
শাদমান sdmn
সামীন smn
শ্যামা sm
সন্ধ্যা snd
সত্যজিত sttjt
অঞ্চল nsl
বাঞ্ছা bns
মঞ্জু mnj
যঞ্ঝা jnj
যাচ্ঞা jsn
মিঞা m
জ্ঞাত get
বিজ্ঞান bggn
নঞ nn
ঋতু rit
বিকৃত bkrit
প্রকাশ prks
রাত্রি rtr
স্বপ্না spn
তত্ত্ব ttt
তিব্বত tbbt
লম্ব lmb
দিগ্বিদিক dgbdk
উদ্বেগ udbg
বিশ্বজিত bssjt
স্বরণ srn
সূক্ষ্ম skk
রুক্মিনী rkmn
যুগ্ম jgm
বাঙ্ময় bngm
কুট্মাল ktml
মৃণ্ময় mrinm
জন্ম jnm
রুম্মান rmmn
গুল্ম glm
কাশ্মীর ksmr
কুষ্মান্ড ksmnD
সুস্মিতা ssmt
রশ্মি rss
মিয়া m
সায়েম sm
হৃদয় rid
হ্রদ rd
পূর্বাহ্ন prbnn
প্রাহ্ন prnn
ব্রহ্মা brmm
উহ্য ujj
হ্লাদ ld
আহ্লাদ lld
আহবান ahbn
দুঃসময় dssm
উঃ h
বাঃ bh
পুনঃ pn
